epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3085,1.76468,3.3764,1.76681,0.41011,0.58333,0.5547,0.1904,2.49326,6.92505,2.96317,0.0673173,0.000330128,0.000330128
2,58.4221,1.65671,2.21712,1.73139,0.58729,0.45329,0.61075,0.36313,1.42338,2.49296,1.70875,0.0343129,0.000659083,0.000659083
3,86.4422,1.60217,1.9997,1.6982,0.5638,0.62787,0.63781,0.26974,2.21034,3.52533,2.49652,0.00130415,0.000983637,0.000983637
4,114.346,1.58121,1.80877,1.65252,0.57094,0.5049,0.59467,0.35933,1.85402,1.83469,2.14394,0.0009802,0.0009802,0.0009802
5,142.428,1.52362,1.70786,1.61668,0.51176,0.60386,0.57442,0.31057,1.81229,2.76878,2.22212,0.0009736,0.0009736,0.0009736
6,170.537,1.48151,1.54484,1.57129,0.74902,0.78393,0.9107,0.54331,1.72004,1.16684,1.94559,0.000967,0.000967,0.000967
7,198.806,1.45911,1.52201,1.55657,0.83757,0.72916,0.90683,0.40105,2.01725,1.53938,2.21113,0.0009604,0.0009604,0.0009604
8,227.133,1.45246,1.44456,1.56231,0.81684,0.77074,0.92382,0.5602,1.56656,1.03634,1.84404,0.0009538,0.0009538,0.0009538
9,255.541,1.40768,1.38107,1.5253,0.90594,0.78563,0.92393,0.58011,1.77744,1.01034,2.12146,0.0009472,0.0009472,0.0009472
10,283.985,1.37072,1.31386,1.50475,0.7788,0.89041,0.95646,0.60459,1.36796,0.98675,1.62693,0.0009406,0.0009406,0.0009406
11,312.445,1.39651,1.33933,1.53082,0.79375,0.87221,0.94319,0.63162,1.44174,0.91759,1.78336,0.000934,0.000934,0.000934
12,340.875,1.38488,1.30959,1.50266,0.84877,0.91467,0.94079,0.64404,1.22852,0.75125,1.54767,0.0009274,0.0009274,0.0009274
13,369.323,1.36556,1.26344,1.50033,0.88814,0.94276,0.96802,0.60121,1.56943,0.90485,1.75152,0.0009208,0.0009208,0.0009208
14,397.768,1.36824,1.28738,1.4864,0.82808,0.89613,0.95771,0.53911,1.84678,1.50352,2.06396,0.0009142,0.0009142,0.0009142
15,426.153,1.33787,1.21277,1.46628,0.76824,0.92918,0.96152,0.6385,1.35563,0.86956,1.64403,0.0009076,0.0009076,0.0009076
16,454.594,1.35443,1.232,1.49439,0.90187,0.86169,0.96575,0.5743,1.71359,0.99447,2.01969,0.000901,0.000901,0.000901
