epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.707,1.91633,3.81122,1.90226,0.30748,0.41609,0.28078,0.06986,3.1375,4.64998,3.31937,0.0676226,0.000327044,0.000327044
2,16.8703,1.75595,2.06149,1.73397,0.77046,0.58028,0.6504,0.21897,2.4278,3.35888,2.68305,0.0346183,0.000656019,0.000656019
3,23.7658,1.69678,1.86547,1.70988,0.45331,0.67899,0.65373,0.32798,1.75215,2.91938,2.0212,0.00160952,0.000980594,0.000980594
4,30.7471,1.66078,1.73012,1.7071,0.49299,0.71346,0.60079,0.35576,1.44955,1.98538,1.7251,0.0009802,0.0009802,0.0009802
5,37.7785,1.63694,1.7155,1.70166,0.82174,0.5636,0.74461,0.39959,1.44723,1.15831,1.68828,0.0009736,0.0009736,0.0009736
6,44.6284,1.60257,1.68189,1.68491,0.67958,0.79999,0.87576,0.46253,1.37605,1.12392,1.62463,0.000967,0.000967,0.000967
7,51.4206,1.54898,1.50077,1.64614,0.71392,0.85688,0.91187,0.4249,1.65184,2.06789,1.8341,0.0009604,0.0009604,0.0009604
8,58.2722,1.53616,1.43892,1.62916,0.62866,0.72909,0.7797,0.25702,2.08768,2.27192,2.35684,0.0009538,0.0009538,0.0009538
9,65.0806,1.55727,1.48693,1.67163,0.4768,0.64653,0.70867,0.47179,1.10575,1.10468,1.47728,0.0009472,0.0009472,0.0009472
10,71.941,1.51008,1.41366,1.61488,0.83552,0.85075,0.93261,0.46124,1.54025,1.16894,1.70925,0.0009406,0.0009406,0.0009406
11,78.7869,1.47098,1.30845,1.5757,0.62243,0.79894,0.81642,0.4766,1.31383,1.34212,1.57821,0.000934,0.000934,0.000934
12,85.5885,1.44077,1.3096,1.54064,0.90569,0.8639,0.95542,0.51244,1.39701,0.86161,1.59251,0.0009274,0.0009274,0.0009274
13,92.5624,1.44564,1.29303,1.54491,0.90796,0.91801,0.98161,0.43108,2.11237,0.8933,2.35409,0.0009208,0.0009208,0.0009208
14,99.3002,1.44472,1.2684,1.51672,0.88774,0.85793,0.96271,0.60115,1.12153,0.64197,1.39109,0.0009142,0.0009142,0.0009142
15,106.246,1.41996,1.21305,1.54207,0.90248,0.90529,0.96911,0.46083,1.69362,0.92523,1.79999,0.0009076,0.0009076,0.0009076
16,113.117,1.39479,1.16563,1.52037,0.83105,0.88477,0.92123,0.55255,1.42076,0.86739,1.59609,0.000901,0.000901,0.000901
17,120.115,1.38127,1.16412,1.51995,0.9264,0.95166,0.995,0.52971,1.62798,0.7779,1.74636,0.0008944,0.0008944,0.0008944
18,126.894,1.36767,1.12554,1.49619,0.93947,0.92009,0.95174,0.61155,1.11477,0.6932,1.40814,0.0008878,0.0008878,0.0008878
19,133.786,1.38093,1.10873,1.49503,0.93687,0.93008,0.995,0.61929,1.37521,0.6885,1.53692,0.0008812,0.0008812,0.0008812
20,140.615,1.33066,1.12334,1.50933,0.95245,0.94125,0.995,0.54564,1.49805,0.66059,1.67655,0.0008746,0.0008746,0.0008746
21,147.673,1.32043,1.06547,1.44418,0.93806,0.97053,0.99083,0.64664,1.11729,0.60827,1.37041,0.000868,0.000868,0.000868
22,154.521,1.36103,1.10209,1.48292,0.93633,0.93065,0.97677,0.57734,1.31031,0.74823,1.47737,0.0008614,0.0008614,0.0008614
23,161.454,1.33232,1.05695,1.45693,0.93884,0.95365,0.995,0.64349,1.08416,0.66784,1.38587,0.0008548,0.0008548,0.0008548
24,168.482,1.30656,1.01056,1.43514,0.94147,0.87961,0.97625,0.66475,1.17299,0.68195,1.42271,0.0008482,0.0008482,0.0008482
25,175.475,1.30638,1.03534,1.45812,0.87073,0.96462,0.9825,0.70853,0.93627,0.59494,1.29585,0.0008416,0.0008416,0.0008416
26,182.385,1.36496,1.06684,1.49045,0.91531,0.97025,0.995,0.58713,1.64183,0.74139,1.82189,0.000835,0.000835,0.000835
27,189.344,1.27023,1.04143,1.43854,0.94899,0.95634,0.9825,0.63862,1.19795,0.62548,1.45185,0.0008284,0.0008284,0.0008284
28,196.337,1.29134,1.01238,1.43721,0.92752,0.95736,0.98875,0.57788,1.37869,0.63517,1.53108,0.0008218,0.0008218,0.0008218
29,203.276,1.29548,0.98347,1.42462,0.935,0.93551,0.98875,0.51794,1.53231,0.74999,1.66944,0.0008152,0.0008152,0.0008152
30,210.337,1.26795,0.96898,1.4204,0.96849,0.9372,0.98875,0.64016,0.98592,0.55803,1.31063,0.0008086,0.0008086,0.0008086
31,217.122,1.31031,1.02518,1.45448,0.90959,0.96584,0.97764,0.67235,0.98296,0.62374,1.3049,0.000802,0.000802,0.000802
32,224.118,1.28025,0.9908,1.44551,0.93778,0.91344,0.98875,0.68624,0.99139,0.58683,1.32824,0.0007954,0.0007954,0.0007954
33,231.016,1.25187,0.96096,1.42492,0.93654,0.98015,0.995,0.6246,1.24459,0.71679,1.46544,0.0007888,0.0007888,0.0007888
34,237.872,1.28295,0.97819,1.44319,0.89549,0.97477,0.97625,0.52753,1.6769,0.77393,1.77393,0.0007822,0.0007822,0.0007822
35,244.926,1.25796,0.97477,1.43342,0.93256,0.9741,0.995,0.71714,0.77989,0.5265,1.21444,0.0007756,0.0007756,0.0007756
